X,Y,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,WEBSITE,OWNER,BEDS,TRAUMA,HELIPAD
-85.76808105599997,39.795493326000035,5146140,HANCOCK REGIONAL HOSPITAL,801 N STATE ST,GREENFIELD,IN,46140,(317) 468-4412,GENERAL ACUTE CARE,OPEN,68,HANCOCK,18059,USA,39.795493326,-85.768081056,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.hancockregional.org,GOVERNMENT - LOCAL,68,NOT AVAILABLE,N
-104.693564743,34.93021527900004,4188435,GUADALUPE COUNTY HOSPITAL,117 CAMINO DE VIDA,SANTA ROSA,NM,88435,(575) 472-3417,GENERAL ACUTE CARE,OPEN,10,GUADALUPE,35019,USA,34.930215279,-104.693564743,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,http://www.srnm.org/Residents/Health-Care.aspx,GOVERNMENT - LOCAL,10,NOT AVAILABLE,Y
-108.26091771999994,32.79712997600007,3788061,GILA REGIONAL MEDICAL CENTER,1313 EAST 32ND STREET,SILVER CITY,NM,88061,(575) 538-4000,GENERAL ACUTE CARE,OPEN,71,GRANT,35017,USA,32.7971299760001,-108.26091772,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,http://www.grmc.org,GOVERNMENT - LOCAL,71,NOT AVAILABLE,Y
-106.61976421399996,31.84226996000007,188008,PEAK BEHAVIORAL HEALTH SERVICES,5065 MCNUTT ROAD,SANTA TERESA,NM,88008,(575) 589-3000,PSYCHIATRIC,OPEN,88,DONA ANA,35013,USA,31.8422699600001,-106.619764214,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://providersearch.health.state.nm.us/,http://www.peakbehavioral.com/,PROPRIETARY,88,NOT AVAILABLE,N
-95.73556612199995,41.03921194400005,11551534,GLENWOOD STATE HOSPITAL SCHOOL,711 SOUTH VINE STREET,GLENWOOD,IA,51534,(712) 527-4811,GENERAL ACUTE CARE,OPEN,851,MILLS,19129,USA,41.039211944,-95.73556612200001,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dia-hfd.iowa.gov/DIA_HFD/CTLEntitySearch.do,NOT AVAILABLE,GOVERNMENT - STATE,851,NOT AVAILABLE,N
-106.72891585299999,32.32366850700004,5488011,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,4311 EAST LOHMAN AVENUE,LAS CRUCES,NM,88011,(575) 556-7600,GENERAL ACUTE CARE,OPEN,168,DONA ANA,35013,USA,32.323668507,-106.72891585299999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,http://www.mountainviewregional.com,PROPRIETARY,168,NOT AVAILABLE,Y
-108.72650483700001,35.50651464100003,1687301,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,1901 REDROCK DRIVE,GALLUP,NM,87301,(505) 863-7000,GENERAL ACUTE CARE,OPEN,69,MCKINLEY,35031,USA,35.506514641,-108.72650483700001,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,http://www.rmch.org,NON-PROFIT,69,NOT AVAILABLE,Y
-108.13961044999996,35.69866636200004,1887313,CROWNPOINT PUBLIC HEALTH SERVICES INDIAN HOSPITAL,STATE ROUTE 371 AND ROUTE 9,CROWNPOINT,NM,87313,(505) 786-5291,GENERAL ACUTE CARE,OPEN,32,MCKINLEY,35031,USA,35.698666362,-108.13961045,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,https://www.ihs.gov/navajo/healthcarefacilities/crownpoint/,GOVERNMENT - FEDERAL,32,NOT AVAILABLE,Y
-111.70987495599998,33.37995297200007,3985206,HEALTHSOUTH EAST VALLEY REHABILITATION,5652 E BASELINE ROAD,GILBERT,AZ,85206,(480) 567-0350,REHABILITATION,OPEN,60,MARICOPA,04013,USA,33.379952972000105,-111.70987495600001,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.azdhs.gov/als/databases/,www.healthsoutheastvalley.com,PROPRIETARY,60,NOT AVAILABLE,N
-106.63705687699995,35.087790247000044,887102,HEART HOSPITAL OF NEW MEXICO,504 ELM STREET NORTHEAST,ALBUQUERQUE,NM,87102,(505) 727-8000,SPECIAL,OPEN,55,BERNALILLO,35001,USA,35.087790247,-106.637056877,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://providersearch.health.state.nm.us/,http://nmhi.com/locations/viewlocation.cfm?lid=46EBFAA9-E0CB-91F4-29D6D6E79B1B61AA,PROPRIETARY,55,NOT AVAILABLE,Y
-106.59100256,35.13176802100002,4387109,LOVELACE WOMENS HOSPITAL,4701 MONTGOMERY BOULEVARD NORTHEAST,ALBUQUERQUE,NM,87109,(505) 727-7805,WOMEN,OPEN,120,BERNALILLO,35001,USA,35.131768021,-106.59100256,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://providersearch.health.state.nm.us/,http://www.lovelace.com/albuquerque-hospital/lovelace-womens-hospital,PROPRIETARY,120,NOT AVAILABLE,N
-115.28547052999996,36.287057218000015,2789149,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,6900 NORTH DURANGO DRIVE,LAS VEGAS,NV,89149,(702) 835-9720,GENERAL ACUTE CARE,OPEN,171,CLARK,32003,USA,36.287057218,-115.28547053,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://www.centennialhillshospital.com,PROPRIETARY,171,NOT AVAILABLE,Y
-84.19999271799998,39.74824358700004,130345408,HEALTHSOUTH REHABILITATION HOSPITAL DAYTON,ONE ELIZABETH PLACE,DAYTON,OH,45417,(937) 424-8200,REHABILITATION,OPEN,50,MONTGOMERY,39113,USA,39.748243587,-84.199992718,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.healthsouthdayton.com/,PROPRIETARY,50,NOT AVAILABLE,N
-115.11671103099995,36.03364520700007,3189123,HORIZON SPECIALTY HOSPITAL OF HENDERSON,8550 S EASTERN AVE,HENDERSON,NV,89123,(702) 382-3155,GENERAL ACUTE CARE,OPEN,39,CLARK,32003,USA,36.033645207000106,-115.11671103100001,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,www.horizonspecialtyhosp.com/‎,PROPRIETARY,39,NOT AVAILABLE,N
-109.99461105799996,40.29890737700002,4384066,UINTAH BASIN CARE AND REHABILITATION,187 WEST LAGOON STREET,ROOSEVELT,UT,84066,(435) 722-2497,REHABILITATION,OPEN,-999,DUCHESNE,49013,USA,40.298907377,-109.99461105799999,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,NOT AVAILABLE,NOT AVAILABLE,-999,NOT AVAILABLE,N
-111.89552036499998,40.87776392000006,1784010,BENCHMARK REGIONAL HOSPITAL,592 WEST 1350 SOUTH,WOODS CROSS,UT,84010,(801) 299-5300,PSYCHIATRIC,OPEN,84,DAVIS,49011,USA,40.8777639200001,-111.895520365,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.bbhsnet.com/,PROPRIETARY,84,NOT AVAILABLE,N
-86.75854219799997,37.92786126400007,10947586,PERRY COUNTY MEMORIAL HOSPITAL,ONE HOSPITAL RD,TELL CITY,IN,47586,(812) 547-7011,CRITICAL ACCESS,OPEN,25,PERRY,18123,USA,37.9278612640001,-86.75854219799999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.pchospital.org,GOVERNMENT - LOCAL,25,NOT AVAILABLE,Y
-111.63531813499996,40.23482250800004,3884606,UTAH STATE HOSPITAL,1300 EAST CENTER STREET,PROVO,UT,84606,(801) 344-4400,PSYCHIATRIC,OPEN,329,UTAH,49049,USA,40.234822508,-111.635318135,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.ush.utah.gov,GOVERNMENT - STATE,329,NOT AVAILABLE,N
-84.21101072799998,39.67539568100005,29745439,KETTERING YOUTH SERVICES,5350 LAMME ROAD,DAYTON,OH,45439,(937) 534-4600,PSYCHIATRIC,OPEN,60,MONTGOMERY,39113,USA,39.6753956810001,-84.211010728,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://ketteringhealth.org/mentalhealth/,NON-PROFIT,60,NOT AVAILABLE,N
-114.11594792199995,36.81003991200002,4289027,MESA VIEW REGIONAL HOSPITAL,1299 BERTHA HOWE AVENUE,MESQUITE,NV,89027,(702) 346-8040,GENERAL ACUTE CARE,OPEN,25,CLARK,32003,USA,36.810039912,-114.115947922,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://www.mesaviewhospital.com,PROPRIETARY,25,NOT AVAILABLE,Y
-111.85478725599995,40.604820046000036,3284094,HEALTH SOUTH REHABILITATION HOSPITAL,8074 SOUTH 1300 EAST,SANDY,UT,84094,(801) 561-3400,REHABILITATION,OPEN,105,SALT LAKE,49035,USA,40.604820046,-111.85478725600001,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.healthsouthutah.com,PROPRIETARY,105,NOT AVAILABLE,N
-115.16283256699995,36.18914441000004,112789106,VA SOUTHERN NEVADA HEALTHCARE SYSTEM,1700 VEGAS DRIVE,LAS VEGAS,NV,89106,NOT AVAILABLE,MILITARY,OPEN,-999,CLARK,32003,USA,36.18914441,-115.16283256700001,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.va.gov/directory/guide/allstate.asp,NOT AVAILABLE,GOVERNMENT - FEDERAL,-999,NOT AVAILABLE,N
-85.68303236999998,30.761080812000042,8132425,DOCTORS MEMORIAL HOSPITAL,2600 HOSPITAL DR,BONIFAY,FL,32425,(850) 547-8000,GENERAL ACUTE CARE,OPEN,20,HOLMES,12059,USA,30.761080812,-85.68303237,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.doctorsmemorialhospital.com,GOVERNMENT - DISTRICT/AUTHORITY,20,NOT AVAILABLE,Y
-87.50069541199997,37.956130735000045,5447714,HEALTHSOUTH DEACONESS REHABILITATION HOSPITAL,4100 COVERT AVE,EVANSVILLE,IN,47714,(812) 476-9983,REHABILITATION,OPEN,103,VANDERBURGH,18163,USA,37.956130735,-87.50069541200001,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.healthsouthdeaconess.com,PROPRIETARY,103,NOT AVAILABLE,N
-87.39891963699995,39.39857671200007,5347802,HARSHA BEHAVIORAL CENTER INC,1420 E CROSSING BLVD,TERRE HAUTE,IN,47802,(812) 298-8888,PSYCHIATRIC,OPEN,36,VIGO,18167,USA,39.3985767120001,-87.3989196369999,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.harshacenter.com,PROPRIETARY,36,NOT AVAILABLE,N
-81.39487546299993,40.81215790600003,2444708,MERCY MEDICAL CENTER,1320 MERCY DRIVE NW,CANTON,OH,44708,(330) 489-1000,GENERAL ACUTE CARE,OPEN,441,STARK,39151,USA,40.812157905999996,-81.3948754629999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.cantonmercy.org,NON-PROFIT,441,LEVEL 2,Y
-111.89670948199995,40.617743142000045,5284047,HIGHLAND RIDGE HOSPITAL,7309 SOUTH 180 WEST,MIDVALE,UT,84047,(801) 569-2153,PSYCHIATRIC,OPEN,53,SALT LAKE,49035,USA,40.6177431420001,-111.896709482,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,www.highlandridgehospital.com,PROPRIETARY,53,NOT AVAILABLE,N
-71.16194629799999,42.46344406200007,13701801,HEALTHSOUTH NEW ENGLAND REHABILITATION HOSPITAL,2 REHABILITATION WAY,WOBURN,MA,1801,(781) 935-5050,REHABILITATION,OPEN,168,MIDDLESEX,25017,USA,42.4634440620001,-71.161946298,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,http://www.healthsouthnewengland.com/,PROPRIETARY,168,NOT AVAILABLE,N
-111.81648658899996,39.156255985000016,2684634,GUNNISON VALLEY HOSPITAL,64 EAST 100 NORTH STREET,GUNNISON,UT,84634,(435) 528-7246,CRITICAL ACCESS,OPEN,25,SANPETE,49039,USA,39.156255985,-111.816486589,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.gvhospital.org,GOVERNMENT - LOCAL,25,NOT AVAILABLE,Y
-85.83109257599993,41.25182736500005,10346580,OTIS R BOWEN CENTER FOR HUMAN SERVICES INC,1535 PROVIDENT DR,WARSAW,IN,46580,(574) 267-7169,PSYCHIATRIC,OPEN,16,KOSCIUSKO,18085,USA,41.2518273650001,-85.8310925759999,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.bowencenter.org,NON-PROFIT,16,NOT AVAILABLE,N
-87.51201931699995,41.537757928000076,3646321,FRANCISCAN PHYSICIANS HOSPITAL LLC,701 SUPERIOR AVE,MUNSTER,IN,46321,(219) 922-4200,GENERAL ACUTE CARE,OPEN,63,LAKE,18089,USA,41.53775792800009,-87.51201931700001,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.franciscanalliance.org/hospitals/munster/Pages/default.aspx,NON-PROFIT,63,NOT AVAILABLE,Y
-87.524717438,41.492351461000055,4446311,FRANCISCAN ST MARGARET HEALTH - DYER,24 JOLIET ST,DYER,IN,46311,(219) 865-2141,GENERAL ACUTE CARE,OPEN,198,LAKE,18089,USA,41.4923514610001,-87.524717438,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,https://www.franciscanhealth.org/dyer,NON-PROFIT,198,NOT AVAILABLE,Y
-112.16700549899998,33.380285403000066,16185339,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,7171 SOUTH 51ST AVENUE,LAVEEN,AZ,85339,(623) 584-5100,GENERAL ACUTE CARE,OPEN,16,MARICOPA,04013,USA,33.3802854030001,-112.167005499,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.azdhs.gov/als/databases/,http://dignityhealth.org/arizonageneral/,NON-PROFIT,16,NOT AVAILABLE,N
-149.80975831799998,61.20563043900006,4699508,NORTH STAR HOSPITAL - BRAGAW CAMPUS,1650 BRAGAW STREET,ANCHORAGE,AK,99508,(907) 258-7575,PSYCHIATRIC,OPEN,-999,ANCHORAGE,02020,USA,61.2056304390001,-149.80975831799998,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://dhss.alaska.gov/dph/HealthPlanning/Pages/SafetyNetDirectory.aspx,www.northstarbehavioral.com,PROPRIETARY,-999,NOT AVAILABLE,N
-86.07700060299999,39.47966774100008,7846131,JOHNSON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,FRANKLIN,IN,46131,(317) 736-3300,GENERAL ACUTE CARE,OPEN,125,JOHNSON,18081,USA,39.4796677410001,-86.07700060299999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.johnsonmemorial.org,GOVERNMENT - LOCAL,125,NOT AVAILABLE,Y
-84.994689108,41.634378767000044,746703,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,416 E MAUMEE ST,ANGOLA,IN,46703,(260) 665-2141,CRITICAL ACCESS,OPEN,25,STEUBEN,18151,USA,41.634378767,-84.994689108,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.cameronmch.com,NON-PROFIT,25,NOT AVAILABLE,Y
-86.725290268,41.610652171000005,6646350,INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL,1007 LINCOLNWAY,LA PORTE,IN,46350,(219) 326-1234,GENERAL ACUTE CARE,OPEN,227,LAPORTE,18091,USA,41.610652171,-86.725290268,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.iuhealth.org,NON-PROFIT,227,NOT AVAILABLE,Y
-86.513198317,38.85992087700004,6347421,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,2900 W 16TH ST,BEDFORD,IN,47421,(812) 275-1200,CRITICAL ACCESS,OPEN,25,LAWRENCE,18093,USA,38.859920877,-86.513198317,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.iuhealth.com,NON-PROFIT,25,NOT AVAILABLE,Y
-72.80199357099998,41.68918192300003,3706053,HOSPITAL FOR SPECIAL CARE,2150 CORBIN AVE,NEW BRITAIN,CT,6053,(860) 223-2761,CHRONIC DISEASE,OPEN,228,HARTFORD,09003,USA,41.689181923,-72.801993571,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://www.elicense.ct.gov/Lookup/GenerateRoster.aspx,http://hfsc.org/,NON-PROFIT,228,NOT AVAILABLE,N
-87.13030991399995,39.04074220900004,4947441,GREENE COUNTY GENERAL HOSPITAL,1185 N 1000 W,LINTON,IN,47441,(812) 847-2281,CRITICAL ACCESS,OPEN,25,GREENE,18055,USA,39.040742209,-87.130309914,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.greenecountyhospital.com,GOVERNMENT - LOCAL,25,NOT AVAILABLE,Y
-87.58983220599998,38.360917273000034,4647670,GIBSON GENERAL HOSPITAL,1808 SHERMAN DR,PRINCETON,IN,47670,(812) 385-3401,CRITICAL ACCESS,OPEN,25,GIBSON,18051,USA,38.360917273000005,-87.589832206,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.gibsongeneral.com,NON-PROFIT,25,NOT AVAILABLE,N
-85.66624079999998,40.564232786000055,4846952,"GRANT-BLACKFORD MENTAL HEALTH, INC",505 WABASH AVE,MARION,IN,46952,(765) 662-3971,PSYCHIATRIC,OPEN,16,GRANT,18053,USA,40.564232786,-85.6662408,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.cornerstone.org/,NOT AVAILABLE,16,NOT AVAILABLE,Y
-86.07549818399998,39.787313719000046,1246219,COMMUNITY HOSPITAL EAST,1500 N RITTER AVE,INDIANAPOLIS,IN,46219,(317) 355-5411,GENERAL ACUTE CARE,OPEN,335,MARION,18097,USA,39.7873137190001,-86.075498184,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.ecommunity.com/east/,PROPRIETARY,335,NOT AVAILABLE,N
-86.26721649499996,39.907695425000036,5946278,ORTHOINDY HOSPITAL,8400 NORTHWEST BLVD,INDIANAPOLIS,IN,46278,(317) 956-1000,SPECIAL,OPEN,38,MARION,18097,USA,39.907695425,-86.267216495,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.orthoindy.com,PROPRIETARY,38,NOT AVAILABLE,N
-97.991240555,43.39969038000003,2357366,AVERA SAINT BENEDICT HEALTH CENTER,401 WEST GLYNN DRIVE,PARKSTON,SD,57366,(605) 928-3311,CRITICAL ACCESS,OPEN,25,HUTCHINSON,46067,USA,43.39969038,-97.991240555,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.averastbenedict.org,NON-PROFIT,25,TRH,N
-97.08404255999994,43.17538103300007,5557070,PIONEER MEMORIAL HOSPITAL AND HEALTH SERVICES,315 NORTH WASHINGTON STREET,VIBORG,SD,57070,(605) 326-5161,CRITICAL ACCESS,OPEN,12,TURNER,46125,USA,43.1753810330001,-97.0840425599999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.pioneermemorial.org,NON-PROFIT,12,TRH,N
-99.847295091,43.36992975800007,5457580,WINNER REGIONAL HEALTHCARE CENTER,745 EAST 8TH STREET,WINNER,SD,57580,(605) 842-7100,CRITICAL ACCESS,OPEN,25,TRIPP,46123,USA,43.3699297580001,-99.847295091,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.winnerregional.org,NON-PROFIT,25,CTH,Y
-103.59412033199995,43.772662455000045,1157730,CUSTER REGIONAL HOSPITAL,1039 MONTGOMERY STREET,CUSTER,SD,57730,(605) 673-9400,CRITICAL ACCESS,OPEN,11,CUSTER,46033,USA,43.772662455,-103.594120332,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.regionalhealth.com,NON-PROFIT,11,TRH,Y
-96.59146309099998,44.05135191600005,4457028,AVERA FLANDREAU HOSPITAL,214 NORTH PRAIRIE STREET,FLANDREAU,SD,57028,(605) 997-2433,CRITICAL ACCESS,OPEN,18,MOODY,46101,USA,44.051351916,-96.59146309100001,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.avera.org/,NON-PROFIT,18,TRH,Y
